Source,Target,Weight,Type
1 Sem Algebra,1 Sem Lógica,5,undirected
1 Sem Algebra,1 Sem Química I,2,undirected
1 Sem Algebra,1 Sem Tecnologías de la Información y comunicación,4,undirected
1 Sem Algebra,2 Sem Geometría y trigonometría,5,undirected
1 Sem Algebra,4 Sem Calculo diferencial,29,undirected
1 Sem Algebra,5 Sem Cálculo integral,31,undirected
1 Sem Algebra,6 Sem Probabilidad y estadística,2,undirected
1 Sem Inglés I,1 Sem Lectura expresión oral y escritura I,4,undirected
1 Sem Inglés I,2 Sem Inglés II,60,undirected
1 Sem Inglés I,2 Sem Lectura expresión oral y escritura II,5,undirected
1 Sem Inglés I,3 Sem Inglés III,19,undirected
1 Sem Inglés I,4 Sem Inglés IV,45,undirected
1 Sem Inglés I,5 Sem Inglés V,3,undirected
1 Sem Lectura expresión oral y escritura I,1 Sem Inglés I,4,undirected
1 Sem Lectura expresión oral y escritura I,1 Sem Lógica,28,undirected
1 Sem Lectura expresión oral y escritura I,1 Sem Tecnologías de la Información y comunicación,48,undirected
1 Sem Lectura expresión oral y escritura I,2 Sem Lectura expresión oral y escritura II,60,undirected
1 Sem Lógica,1 Sem Algebra,5,undirected
1 Sem Lógica,1 Sem Lectura expresión oral y escritura I,28,undirected
1 Sem Lógica,1 Sem Tecnologías de la Información y comunicación,8,undirected
1 Sem Lógica,2 Sem Inglés II,3,undirected
1 Sem Lógica,2 Sem Lectura expresión oral y escritura II,13,undirected
1 Sem Lógica,3 Sem Ética,2,undirected
1 Sem Lógica,3 Sem Geometría analítica,3,undirected
1 Sem Lógica,6 Sem Temas de filosofía,15,undirected
1 Sem Química I,1 Sem Algebra,2,undirected
1 Sem Química I,2 Sem Química II,27,undirected
1 Sem Química I,3 Sem Biología,27,undirected
1 Sem Química I,4 Sem Física I,11,undirected
1 Sem Química I,5 Sem Ciencia Tecnología Sociedad y Valores,2,undirected
1 Sem Química I,5 Sem Física II,1,undirected
1 Sem Tecnologías de la Información y comunicación,1 Sem Algebra,4,undirected
1 Sem Tecnologías de la Información y comunicación,1 Sem Lectura expresión oral y escritura I,48,undirected
1 Sem Tecnologías de la Información y comunicación,1 Sem Lógica,8,undirected
1 Sem Tecnologías de la Información y comunicación,2 Sem Inglés II,5,undirected
1 Sem Tecnologías de la Información y comunicación,2 Sem Lectura expresión oral y escritura II,42,undirected
1 Sem Tecnologías de la Información y comunicación,5 Sem Cálculo integral,4,undirected
1 Sem Tecnologías de la Información y comunicación,6 Sem Probabilidad y estadística,1,undirected
2 Sem Geometría y trigonometría,1 Sem Algebra,5,undirected
2 Sem Geometría y trigonometría,3 Sem Biología,7,undirected
2 Sem Geometría y trigonometría,3 Sem Geometría analítica,52,undirected
2 Sem Geometría y trigonometría,4 Sem Calculo diferencial,12,undirected
2 Sem Geometría y trigonometría,5 Sem Cálculo integral,1,undirected
2 Sem Geometría y trigonometría,6 Sem Temas de filosofía,22,undirected
2 Sem Inglés II,1 Sem Inglés I,60,undirected
2 Sem Inglés II,1 Sem Lógica,3,undirected
