"1 Sem Algebra" "1 Sem Inglés I" "1 Sem Lectura expresión oral y escritura I" "1 Sem Lógica" "1 Sem Química I" "1 Sem Tecnologías de la Información y comunicación" "2 Sem Geometría y trigonometría" "2 Sem Inglés II" "2 Sem Lectura expresión oral y escritura II" "2 Sem Química II" "3 Sem Biología" "3 Sem Ética" "3 Sem Geometría analítica" "3 Sem Inglés III" "4 Sem Calculo diferencial" "4 Sem Ecología" "4 Sem Física I" "4 Sem Inglés IV" "5 Sem Cálculo integral" "5 Sem Ciencia Tecnología Sociedad y Valores" "5 Sem Física II" "5 Sem Inglés V" "6 Sem Probabilidad y estadística" "6 Sem Temas de filosofía"
"1 Sem Algebra" 0 1.0318047132452 0.981901347986556 0.921631298771659 0.9129543876382 0.921948779571302 0.891208692931119 1.06222319615408 0.94326126910326 0.990230287916726 1.0754125703172 1.19289646100841 1.04073071404961 1.24352669763038 0.840756979239745 1.06352576279455 0.945089206709501 1.15136850681339 0.847847476860906 0.999529845329821 1.06098172853313 1.30134635350497 0.898859024535336 1.13138159721093
"1 Sem Inglés I" 1.0318047132452 0 0.830326201848365 0.953981769256365 1.54193240724326 0.892421132519803 1.49838379100589 0.058963714531584 0.874948849662363 1.70483027176553 1.76922291728889 1.70279590928959 1.48835794200189 0.379360489924628 1.42758334032356 1.63289971547945 1.64317743981472 0.195700899032161 1.16726522406622 1.37863868376458 1.69637514931182 0.531170673015391 1.54675439852233 1.70824971177091
"1 Sem Lectura expresión oral y escritura I" 0.981901347986556 0.830326201848365 0 0.788977304515004 1.22376178703067 0.696377265799494 1.06985773268532 0.869974649479259 0.426780445881468 1.35627858736744 1.34492130610057 1.29565396574677 1.11789889922743 1.16455857425316 1.13851073699933 1.33808124213011 1.32360294218387 0.939648269621282 0.933154924124953 1.11569110139748 1.3417113148845 1.23111822375111 1.15752525414801 1.2220755030864
"1 Sem Lógica" 0.921631298771659 0.953981769256365 0.788977304515004 0 1.18864805401815 0.878791654832204 1.04100507452786 0.942837931518106 0.88764832267648 1.29230457271658 1.16304499020257 0.94266175861666 0.95657594794756 1.1377951692413 1.02683229203086 1.1869544161311 1.32661014833512 1.062350457663 0.952745455132528 1.02954930560897 1.28781957316301 1.20293964533511 1.01287099268562 0.875016051469449
"1 Sem Química I" 0.9129543876382 1.54193240724326 1.22376178703067 1.18864805401815 0 1.1741449442831 0.795579006917176 1.54265178048742 1.18077704625501 0.428104989762917 0.429038762072536 0.730373869025447 0.795653533209386 1.40391806337341 0.856539449623128 0.507586044722458 0.470510012849881 1.50717143708962 1.04792928572969 0.729805567387792 0.510918346660986 1.31945882481022 0.791781656020783 0.741712735658176
"1 Sem Tecnologías de la Información y comunicación" 0.921948779571302 0.892421132519803 0.696377265799494 0.878791654832204 1.1741449442831 0 1.07598154341325 0.863209077572848 0.749943603655586 1.31597108248804 1.19000770559516 1.16554671651702 1.17666825573626 1.15133489291536 1.0426752477737 1.23804950630227 1.33245291481719 0.985791709639789 0.885091487656542 1.16666350672286 1.29189678975676 1.20554557720511 1.07849291169305 1.21506150499491
"2 Sem Geometría y trigonometría" 0.891208692931119 1.49838379100589 1.06985773268532 1.04100507452786 0.795579006917176 1.07598154341325 0 1.46016882437394 1.11014286920163 0.705630663673567 0.661695090629731 0.678454874075402 0.590557248315836 1.35595513140418 0.686719103183984 0.802953642267493 0.78095138822273 1.44829749581795 0.891845560860832 0.997142278521966 0.740332419870612 1.25008058473983 0.731669656531429 0.606246225892024
"2 Sem Inglés II" 1.06222319615408 0.058963714531584 0.869974649479259 0.942837931518106 1.54265178048742 0.863209077572848 1.46016882437394 0 0.93023303770234 1.69326822965956 1.74719483459778 1.66219090191499 1.5067166675544 0.395994054420738 1.390153940436 1.62756066774852 1.65021226475967 0.259623978425142 1.1250059646031 1.37397507881178 1.67638585296261 0.530994484871513 1.53953943861585 1.67075881659302
"2 Sem Lectura expresión oral y escritura II" 0.94326126910326 0.874948849662363 0.426780445881468 0.88764832267648 1.18077704625501 0.749943603655586 1.11014286920163 0.93023303770234 0 1.30152174610541 1.29405179494347 1.31143329162805 1.08248801599796 1.17278077293719 1.05639436389028 1.23496642183422 1.23887157938401 0.956724225069585 1.00992719864253 1.08196343805094 1.2977700760179 1.23608241710895 1.15452793940454 1.30139521740721
"2 Sem Química II" 0.990230287916726 1.70483027176553 1.35627858736744 1.29230457271658 0.428104989762917 1.31597108248804 0.705630663673567 1.69326822965956 1.30152174610541 0 0.338366928084135 0.520406674715737 0.703348263217897 1.36705808564122 0.831754466561556 0.306358448110075 0.230502437564595 1.58944909387473 1.11234666955261 0.754058117208091 0.376606609355935 1.22875590027167 0.679718623134923 0.545944506876815
"3 Sem Biología" 1.0754125703172 1.76922291728889 1.34492130610057 1.16304499020257 0.429038762072536 1.19000770559516 0.661695090629731 1.74719483459778 1.29405179494347 0.338366928084135 0 0.394745229195231 0.670642924652314 1.44540054140848 0.730601410109703 0.406675814189362 0.3982115401558 1.64587965312526 0.983399122045007 0.698337452863086 0.375885892480256 1.32881208726273 0.574959908726798 0.435313044206027
"3 Sem Ética" 1.19289646100841 1.70279590928959 1.29565396574677 0.94266175861666 0.730373869025447 1.16554671651702 0.678454874075402 1.66219090191499 1.31143329162805 0.520406674715737 0.394745229195231 0 0.672398630888474 1.29035647140288 0.753259539233675 0.581990188848346 0.622443316834483 1.52537587123077 0.997220355802985 0.826391448037609 0.516072423203213 1.15828326589147 0.660499121392206 0.273678806330416
"3 Sem Geometría analítica" 1.04073071404961 1.48835794200189 1.11789889922743 0.95657594794756 0.795653533209386 1.17666825573626 0.590557248315836 1.5067166675544 1.08248801599796 0.703348263217897 0.670642924652314 0.672398630888474 0 1.44986654614706 0.810389945951452 0.64981347780362 0.708881600917503 1.45423076798639 0.929453106328533 0.752652233715362 0.715540256121759 1.36572166370162 0.608066033330658 0.634399309020195
"3 Sem Inglés III" 1.24352669763038 0.379360489924628 1.16455857425316 1.1377951692413 1.40391806337341 1.15133489291536 1.35595513140418 0.395994054420738 1.17278077293719 1.36705808564122 1.44540054140848 1.29035647140288 1.44986654614706 0 1.3675247211959 1.42720519798346 1.3952960085951 0.21068616330364 1.32850551586599 1.39496088152176 1.41677323908722 0.229982562854731 1.44311892475898 1.33521368036381
"4 Sem Calculo diferencial" 0.840756979239745 1.42758334032356 1.13851073699933 1.02683229203086 0.856539449623128 1.0426752477737 0.686719103183984 1.390153940436 1.05639436389028 0.831754466561556 0.730601410109703 0.753259539233675 0.810389945951452 1.3675247211959 0 0.888326790736047 0.886186295262505 1.39765712351984 0.549756063890072 0.981832800286732 0.836392630731708 1.27660627158526 0.503244296881398 0.754201444552087
"4 Sem Ecología" 1.06352576279455 1.63289971547945 1.33808124213011 1.1869544161311 0.507586044722458 1.23804950630227 0.802953642267493 1.62756066774852 1.23496642183422 0.306358448110075 0.406675814189362 0.581990188848346 0.64981347780362 1.42720519798346 0.888326790736047 0 0.281347865194884 1.57133940195148 1.1187645751354 0.645523479091715 0.378833668692049 1.30949868539662 0.7805109833697 0.624373825233175
"4 Sem Física I" 0.945089206709501 1.64317743981472 1.32360294218387 1.32661014833512 0.470510012849881 1.33245291481719 0.78095138822273 1.65021226475967 1.23887157938401 0.230502437564595 0.3982115401558 0.622443316834483 0.708881600917503 1.3952960085951 0.886186295262505 0.281347865194884 0 1.56460379803379 1.1029909259415 0.704523901215774 0.311109840575349 1.26324214286986 0.778332592655916 0.631085812990862
"4 Sem Inglés IV" 1.15136850681339 0.195700899032161 0.939648269621282 1.062350457663 1.50717143708962 0.985791709639789 1.44829749581795 0.259623978425142 0.956724225069585 1.58944909387473 1.64587965312526 1.52537587123077 1.45423076798639 0.21068616330364 1.39765712351984 1.57133940195148 1.56460379803379 0 1.23211408784016 1.43568707402414 1.59198887776267 0.410777741211044 1.49498111270172 1.55619222463528
"5 Sem Cálculo integral" 0.847847476860906 1.16726522406622 0.933154924124953 0.952745455132528 1.04792928572969 0.885091487656542 0.891845560860832 1.1250059646031 1.00992719864253 1.11234666955261 0.983399122045007 0.997220355802985 0.929453106328533 1.32850551586599 0.549756063890072 1.1187645751354 1.1029909259415 1.23211408784016 0 0.8825407664616 0.968099144813812 1.31279030626182 0.706696766748896 0.996845542727354
"5 Sem Ciencia Tecnología Sociedad y Valores" 0.999529845329821 1.37863868376458 1.11569110139748 1.02954930560897 0.729805567387792 1.16666350672286 0.997142278521966 1.37397507881178 1.08196343805094 0.754058117208091 0.698337452863086 0.826391448037609 0.752652233715362 1.39496088152176 0.981832800286732 0.645523479091715 0.704523901215774 1.43568707402414 0.8825407664616 0 0.566610988743089 1.37119289847924 0.849780510649787 0.75961738878826
