Source,Target,Weight,Type
1 Sem Algebra,1 Sem Tecnologías de la Información y comunicación,1,undirected
1 Sem Algebra,2 Sem Geometría y trigonometría,24,undirected
1 Sem Algebra,2 Sem Química II,2,undirected
1 Sem Algebra,3 Sem Geometría analítica,15,undirected
1 Sem Algebra,4 Sem Calculo diferencial,20,undirected
1 Sem Algebra,5 Sem Cálculo integral,43,undirected
1 Sem Inglés I,2 Sem Inglés II,59,undirected
1 Sem Inglés I,2 Sem Lectura expresión oral y escritura II,4,undirected
1 Sem Inglés I,3 Sem Inglés III,10,undirected
1 Sem Inglés I,4 Sem Inglés IV,15,undirected
1 Sem Inglés I,5 Sem Inglés V,6,undirected
1 Sem Lectura expresión oral y escritura I,1 Sem Lógica,3,undirected
1 Sem Lectura expresión oral y escritura I,1 Sem Tecnologías de la Información y comunicación,41,undirected
1 Sem Lectura expresión oral y escritura I,2 Sem Geometría y trigonometría,2,undirected
1 Sem Lectura expresión oral y escritura I,2 Sem Inglés II,3,undirected
1 Sem Lectura expresión oral y escritura I,2 Sem Lectura expresión oral y escritura II,60,undirected
1 Sem Lectura expresión oral y escritura I,5 Sem Cálculo integral,2,undirected
1 Sem Lectura expresión oral y escritura I,6 Sem Probabilidad y estadística,1,undirected
1 Sem Lógica,1 Sem Lectura expresión oral y escritura I,3,undirected
1 Sem Lógica,1 Sem Tecnologías de la Información y comunicación,10,undirected
1 Sem Lógica,2 Sem Geometría y trigonometría,1,undirected
1 Sem Lógica,3 Sem Ética,40,undirected
1 Sem Lógica,4 Sem Física I,1,undirected
1 Sem Lógica,5 Sem Inglés V,2,undirected
1 Sem Lógica,6 Sem Temas de filosofía,58,undirected
1 Sem Química I,2 Sem Química II,60,undirected
1 Sem Química I,3 Sem Biología,48,undirected
1 Sem Química I,4 Sem Ecología,23,undirected
1 Sem Química I,4 Sem Física I,17,undirected
1 Sem Química I,5 Sem Ciencia Tecnología Sociedad y Valores,3,undirected
1 Sem Química I,5 Sem Física II,4,undirected
1 Sem Tecnologías de la Información y comunicación,1 Sem Algebra,1,undirected
1 Sem Tecnologías de la Información y comunicación,1 Sem Lectura expresión oral y escritura I,41,undirected
1 Sem Tecnologías de la Información y comunicación,1 Sem Lógica,10,undirected
1 Sem Tecnologías de la Información y comunicación,2 Sem Inglés II,1,undirected
1 Sem Tecnologías de la Información y comunicación,2 Sem Lectura expresión oral y escritura II,49,undirected
1 Sem Tecnologías de la Información y comunicación,3 Sem Biología,1,undirected
1 Sem Tecnologías de la Información y comunicación,5 Sem Cálculo integral,1,undirected
1 Sem Tecnologías de la Información y comunicación,6 Sem Probabilidad y estadística,1,undirected
2 Sem Geometría y trigonometría,1 Sem Algebra,24,undirected
2 Sem Geometría y trigonometría,1 Sem Lectura expresión oral y escritura I,2,undirected
2 Sem Geometría y trigonometría,1 Sem Lógica,1,undirected
2 Sem Geometría y trigonometría,3 Sem Geometría analítica,58,undirected
2 Sem Geometría y trigonometría,4 Sem Calculo diferencial,6,undirected
