"1 Sem Algebra" "1 Sem Inglés I" "1 Sem Lectura expresión oral y escritura I" "1 Sem Lógica" "1 Sem Química I" "1 Sem Tecnologías de la Información y comunicación" "2 Sem Geometría y trigonometría" "2 Sem Inglés II" "2 Sem Lectura expresión oral y escritura II" "2 Sem Química II" "3 Sem Biología" "3 Sem Ética" "3 Sem Geometría analítica" "3 Sem Inglés III" "4 Sem Calculo diferencial" "4 Sem Ecología" "4 Sem Física I" "4 Sem Inglés IV" "5 Sem Cálculo integral" "5 Sem Ciencia Tecnología Sociedad y Valores" "5 Sem Física II" "5 Sem Inglés V" "6 Sem Probabilidad y estadística" "6 Sem Temas de filosofía"
"1 Sem Algebra" 0 0.942268860756388 0.94424686527184 0.919988770377718 0.976180111576269 0.892844686213152 0.95603226791701 0.967583929285405 0.92018915989505 1.06044967669807 1.1279189757271 1.21870832430699 1.07587037127612 1.16003450229504 0.887777978046702 1.10926939623106 1.01848908608316 1.0511788829525 0.875448163938515 1.0324276763338 1.11254335425449 1.24691072649059 0.969489067071342 1.17597075729089
"1 Sem Inglés I" 0.942268860756388 0 0.657789973664808 0.868082586189554 1.68674839230231 0.750462309528954 1.62846003595157 0.0281575723003678 0.756236309086186 1.83657811310469 1.87341755089494 1.84188730512664 1.60159666006347 0.28182746826879 1.53500852318997 1.77836215654948 1.79400161120805 0.113084842286212 1.18166879481054 1.51710901781267 1.83427983214805 0.472050878999194 1.66424425724618 1.83510548102224
"1 Sem Lectura expresión oral y escritura I" 0.94424686527184 0.657789973664808 0 0.764844721358248 1.34457176412274 0.654934747021872 1.20131185507414 0.683092562750316 0.403111292649212 1.46288653652762 1.45436025966654 1.41818478842854 1.22572946194783 0.986192951072351 1.23381614883395 1.44585463867509 1.44013184146451 0.752814470797978 0.971379304550159 1.22385763764839 1.45257087694149 1.10623982145835 1.28116735150113 1.36555220424204
"1 Sem Lógica" 0.919988770377718 0.868082586189554 0.764844721358248 0 1.23083911152504 0.86120706883664 1.09361192675908 0.859389009561206 0.868625832317704 1.30806485121484 1.20633932353539 1.04577095366301 1.01948701802386 1.05766888800903 1.07423654404986 1.23153516634358 1.33693305355969 0.958237840335724 0.970609938325105 1.08279370490576 1.30732899069309 1.15068025320844 1.06956400793175 0.981549926445947
"1 Sem Química I" 0.976180111576269 1.68674839230231 1.34457176412274 1.23083911152504 0 1.26709999695798 0.617575691418682 1.68876426708929 1.26499002034855 0.295497662543868 0.299123303294616 0.495144365607274 0.632954188290977 1.54022622223072 0.713537234038851 0.35264769716796 0.325277575395009 1.6571196458276 1.00966661686894 0.586321179035357 0.349672298876495 1.41365810978212 0.62015868374852 0.506485134633479
"1 Sem Tecnologías de la Información y comunicación" 0.892844686213152 0.750462309528954 0.654934747021872 0.86120706883664 1.26709999695798 0 1.18527237276277 0.733648747067378 0.706883817487442 1.39509093584422 1.29416035652358 1.28314706703333 1.25867963405476 1.0153037775579 1.1120925300178 1.32835127100538 1.40532143424596 0.836863889564552 0.901059403585058 1.2458442763465 1.37416228067763 1.11350026467808 1.1842354631168 1.31615168301328
"2 Sem Geometría y trigonometría" 0.95603226791701 1.62846003595157 1.20131185507414 1.09361192675908 0.617575691418682 1.18527237276277 0 1.60297419453744 1.20621999207428 0.509877571715739 0.482649016453052 0.494122056468954 0.487755614352511 1.48574555998507 0.583240072272666 0.594007745230295 0.572389539604053 1.58605441606445 0.868195812437456 0.825025377938332 0.532421160162175 1.34535990522316 0.589981544900964 0.445531451642182
"2 Sem Inglés II" 0.967583929285405 0.0281575723003678 0.683092562750316 0.859389009561206 1.68876426708929 0.733648747067378 1.60297419453744 0 0.793955884716932 1.83039308211255 1.86140951851171 1.81912564020867 1.61343486503317 0.291262010459367 1.51001544180168 1.77616013960022 1.79976619084323 0.14546352474723 1.15204932823418 1.51580964098136 1.82354514717542 0.470928726340141 1.66045796306328 1.81362916548718
"2 Sem Lectura expresión oral y escritura II" 0.92018915989505 0.756236309086186 0.403111292649212 0.868625832317704 1.26499002034855 0.706883817487442 1.20621999207428 0.793955884716932 0 1.3716435974017 1.36198423833061 1.36433265343369 1.15690198853398 1.04985452602915 1.12668396290752 1.31717947532978 1.32364272269043 0.832197351511852 1.01791683125579 1.16607472271099 1.36905005196938 1.15025327238678 1.21736492981926 1.36433989785711
"2 Sem Química II" 1.06044967669807 1.83657811310469 1.46288653652762 1.30806485121484 0.295497662543868 1.39509093584422 0.509877571715739 1.83039308211255 1.3716435974017 0 0.199948768650706 0.303935568777862 0.530752540771013 1.5464342750683 0.653581620150726 0.1906811164092 0.13865444906556 1.75352650060367 1.03201924173607 0.575411750577727 0.218025267245009 1.3626964026199 0.495514546326963 0.323494880299512
